"device_ID","session_start_timeStamp","dayVars","Observer Type","Observer Name"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-10,14:22:00","Moonlight",,
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-10,14:22:00","Observer Type","Researcher","Alexander"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-10,14:22:00","Data Recorder",,"Calixto"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-10,14:22:41","Moonlight",,
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-10,14:22:41","Observer Type","Researcher","Alexander"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-10,14:22:41","Data Recorder",,"Alexander"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-10,14:23:11","Moonlight",,
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-10,14:23:11","Observer Type","Researcher","Alexander"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-10,14:23:11","Data Recorder",,"Alexander"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-10,14:23:29","Moonlight",,
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-10,14:23:29","Observer Type","Researcher","Alexander"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-10,14:23:29","Data Recorder",,"Alexander"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-11,19:27:33","Moonlight",,
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-11,19:27:33","Observer Type","Researcher","Alexander"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-11,19:27:33","Data Recorder",,"Alexander"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-11,19:52:36","Moonlight",,
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-11,19:52:36","Observer Type","Researcher","Alexander"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-11,19:52:36","Data Recorder",,"Calixto"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-11,19:56:50","Moonlight",,
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-11,19:56:50","Observer Type","Researcher","Alexander"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-11,19:56:50","Data Recorder",,"Calixto"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-12,10:40:18","Moonlight",,
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-12,10:40:18","Observer Type","Researcher","Alexander"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-12,10:40:18","Data Recorder",,"Calixto"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-12,16:13:53","Moonlight",,
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-12,16:13:53","Observer Type","Researcher","Alexander"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-12,16:13:53","Data Recorder",,"Calixto"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-12,16:23:27","Moonlight",,
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-12,16:23:27","Observer Type","Researcher","Calixto"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-12,16:23:27","Data Recorder",,"Calixto"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-12,16:25:11","Moonlight",,
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-12,16:25:11","Observer Type","Researcher","Calixto"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-12,16:25:11","Data Recorder",,"Calixto"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-12,16:34:05","Moonlight",,
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-12,16:34:05","Observer Type","Researcher","Calixto"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-12,16:34:05","Data Recorder",,"Calixto"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-12,20:22:08","Moonlight",,
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-12,20:22:08","Observer Type","Researcher","Alexander"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-12,20:22:08","Data Recorder",,"Calixto"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-13,15:40:02","Moonlight",,
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-13,15:40:02","Observer Type","Researcher","Alexander"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-13,15:40:02","Data Recorder",,"Calixto"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-13,15:41:26","Moonlight",,
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-13,15:41:26","Observer Type","Researcher","Alexander"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-13,15:41:26","Data Recorder",,"Calixto"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-13,15:43:02","Moonlight",,
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-13,15:43:02","Observer Type","Researcher","Alexander"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-13,15:43:02","Data Recorder",,"Calixto"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-13,16:22:08","Moonlight",,
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-13,16:22:08","Observer Type","Researcher","Alexander"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-13,16:22:08","Data Recorder",,"Calixto"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-13,17:55:17","Moonlight",,
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-13,17:55:17","Observer Type","Researcher","Alexander"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-13,17:55:17","Data Recorder",,"Calixto"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-14,17:59:33","Moonlight",,
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-14,17:59:33","Observer Type","Researcher","Alexander"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-14,17:59:33","Data Recorder",,"Alexander"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-15,17:59:45","Moonlight",,
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-15,17:59:45","Observer Type","Researcher","Alexander"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-15,17:59:45","Data Recorder",,"Alexander"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-16,18:00:40","Moonlight",,
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-16,18:00:40","Observer Type","Researcher","Alexander"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-16,18:00:40","Data Recorder",,"Alexander"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-16,20:59:25","Moonlight",,
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-16,20:59:25","Observer Type","Researcher","Alexander"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-16,20:59:25","Data Recorder",,"Alexander"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-17,18:04:10","Moonlight",,
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-17,18:04:10","Observer Type","Researcher","Alexander"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-17,18:04:10","Data Recorder",,"Alexander"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-17,20:02:27","Moonlight",,
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-17,20:02:27","Observer Type","Researcher","Alexander"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-17,20:02:27","Data Recorder",,"Alexander"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-18,18:00:15","Moonlight",,
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-18,18:00:15","Observer Type","Researcher","Alexander"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-18,18:00:15","Data Recorder",,"Alexander"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-19,18:11:53","Moonlight",,
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-19,18:11:53","Observer Type","Researcher","Alexander"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-19,18:11:53","Data Recorder",,"Alexander"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-22,19:48:12","Moonlight",,
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-22,19:48:12","Observer Type","Researcher","Alexander"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-22,19:48:12","Data Recorder",,"Alexander"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-23,19:12:37","Moonlight",,
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-23,19:12:37","Observer Type","Researcher","Alexander"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-23,19:12:37","Data Recorder",,"Alexander"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-07-12,16:17:28","Moonlight",,
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-07-12,16:17:28","Observer Type","Researcher","Alexander"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-07-12,16:17:28","Data Recorder",,"Intern"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-07-12,18:54:03","Moonlight",,
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-07-12,18:54:03","Observer Type","Researcher","Alexander"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-07-12,18:54:03","Data Recorder",,"Intern"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-07-12,19:59:20","Moonlight",,
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-07-12,19:59:20","Observer Type","Researcher","Alexander"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-07-12,19:59:20","Data Recorder",,"Intern"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-07-18,19:56:38","Moonlight",,
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-07-18,19:56:38","Observer Type","Researcher","Alexander"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-07-18,19:56:38","Data Recorder",,"Intern"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-07-21,19:06:58","Moonlight",,
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-07-21,19:06:58","Observer Type","Researcher","Alexander"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-07-21,19:06:58","Data Recorder",,"Calixto"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-07-21,19:07:03","Moonlight",,
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-07-21,19:07:03","Observer Type","Researcher","Alexander"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-07-21,19:07:03","Data Recorder",,"Calixto"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-07-21,19:07:07","Moonlight",,
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-07-21,19:07:07","Observer Type","Researcher","Alexander"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-07-21,19:07:07","Data Recorder",,"Calixto"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-07-21,19:08:49","Moonlight",,
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-07-21,19:08:49","Observer Type","Researcher","Alexander"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-07-21,19:08:49","Data Recorder",,"Calixto"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-07-28,18:52:47","Moonlight",,
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-07-28,18:52:47","Observer Type","Researcher","Alexander"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-07-28,18:52:47","Data Recorder",,"Calixto"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-07-29,19:44:51","Moonlight",,
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-07-29,19:44:51","Observer Type","Researcher","Alexander"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-07-29,19:44:51","Data Recorder",,"Calixto"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-08-04,18:03:32","Moonlight",,
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-08-04,18:03:32","Observer Type","Researcher","Alexander"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-08-04,18:03:32","Data Recorder",,"Calixto"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-12-26,16:25:50","Observer Type","Researcher","Alexander"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-12-26,16:25:50","Moon Phase",,"Half"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-12-26,16:56:07","Observer Type","Researcher","Alexander"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-12-26,16:56:07","Moon Phase",,"Full"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-12-27,18:24:49","Observer Type","Researcher","Alexander"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-12-27,18:24:49","Moon Phase",,"Three Quarter"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-12-27,20:02:28","Observer Type","Researcher","Alexander"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-12-27,20:02:28","Moon Phase",,"Three Quarter"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-12-27,20:03:38","Observer Type","Researcher","Alexander"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-12-27,20:03:38","Moon Phase",,"Three Quarter"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-12-28,18:13:06","Observer Type","Researcher","Alexander"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-12-28,18:13:06","Moon Phase",,"Three Quarter"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-12-30,18:22:22","Observer Type","Researcher","Alexander"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-12-30,18:22:22","Moon Phase",,"Quarter"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-12-31,18:56:25","Observer Type","Researcher","Alexander"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-12-31,18:56:25","Moon Phase",,"Quarter"
